zip_code,median_age,total_population,median_household_income,bachelors_degree,masters_degree,below_poverty,unemployed,uninsured_adults,with_disability,no_vehicle_households,zip_cd,facility_count,facility_density,is_desert
75001,33.8,16633.0,77598.0,4875.0,1965.0,1404.0,400.0,516.0,16594.0,262.0,75001,15.0,0.9018216797931823,0
75002,38.8,72679.0,119301.0,16165.0,6082.0,3890.0,1732.0,1000.0,72481.0,353.0,75002,10.0,0.13759132624279366,0
75006,36.2,48062.0,79672.0,7733.0,2357.0,3777.0,1057.0,1735.0,47703.0,568.0,75006,43.0,0.8946777079605509,0
75007,40.6,54498.0,105969.0,12001.0,3981.0,4141.0,1215.0,1496.0,54456.0,1001.0,75007,28.0,0.5137803222136592,0
75009,37.1,28109.0,153658.0,6690.0,1960.0,1493.0,699.0,852.0,27964.0,52.0,75009,2.0,0.07115158845921236,0
75010,38.1,31609.0,98567.0,8045.0,3025.0,1802.0,830.0,443.0,31481.0,283.0,75010,18.0,0.5694580657407701,0
75013,38.6,46649.0,149549.0,10514.0,6893.0,1741.0,916.0,513.0,46532.0,444.0,75013,12.0,0.257240240948359,0
75019,38.9,44706.0,136679.0,11443.0,7238.0,1252.0,462.0,520.0,44673.0,330.0,75019,10.0,0.22368362188520557,0
75020,40.2,24486.0,64734.0,2151.0,895.0,3927.0,608.0,895.0,24191.0,455.0,75020,15.0,0.6125949522175937,0
75021,43.4,8925.0,61198.0,754.0,201.0,1291.0,167.0,167.0,8878.0,105.0,75021,2.0,0.22408963585434175,0
75022,41.5,27000.0,179892.0,7418.0,3277.0,1498.0,458.0,292.0,26890.0,62.0,75022,4.0,0.14814814814814814,0
75023,38.6,49376.0,101246.0,12558.0,4766.0,3665.0,1216.0,1119.0,49289.0,564.0,75023,10.0,0.20252754374594945,0
75024,36.8,43520.0,114623.0,12290.0,6891.0,1872.0,1194.0,414.0,43452.0,939.0,75024,19.0,0.4365808823529412,0
75025,40.2,54201.0,134740.0,12575.0,8965.0,2650.0,1681.0,600.0,54198.0,406.0,75025,5.0,0.09224922049408682,0
75028,43.1,47751.0,143712.0,14150.0,4938.0,1591.0,1122.0,476.0,47713.0,237.0,75028,9.0,0.1884777282151159,0
75032,39.0,36514.0,132756.0,7079.0,2668.0,696.0,546.0,932.0,36495.0,284.0,75032,11.0,0.30125431341403297,0
75033,36.6,47416.0,165218.0,12041.0,4865.0,860.0,1158.0,575.0,47189.0,373.0,75033,7.0,0.147629492154547,0
75034,35.4,48749.0,104323.0,12181.0,7841.0,2307.0,884.0,802.0,48651.0,1156.0,75034,13.0,0.26667213686434593,0
75035,37.8,83930.0,154811.0,20079.0,12791.0,2578.0,1893.0,1360.0,83742.0,709.0,75035,10.0,0.11914690813773382,0
75036,40.9,31792.0,137902.0,8182.0,5097.0,965.0,630.0,282.0,31784.0,39.0,,0.0,0.0,1
75038,32.2,32559.0,69678.0,6089.0,3101.0,3854.0,724.0,564.0,32449.0,758.0,75038,19.0,0.5835560060198409,0
75039,32.7,21795.0,100474.0,7041.0,4554.0,1379.0,427.0,46.0,21748.0,508.0,75039,1.0,0.045882083046570314,0
75040,36.0,63143.0,70592.0,5667.0,2450.0,7217.0,1526.0,2812.0,62939.0,597.0,75040,15.0,0.23755602362890582,0
75041,30.6,31344.0,62744.0,1889.0,452.0,5030.0,645.0,2193.0,31252.0,376.0,75041,17.0,0.5423685553854007,0
75042,32.9,37925.0,60118.0,2626.0,1124.0,5542.0,965.0,2309.0,37827.0,591.0,75042,18.0,0.4746209624258405,0
75043,35.3,64296.0,72079.0,6058.0,2443.0,6812.0,2215.0,3489.0,64213.0,1486.0,75043,63.0,0.9798432250839866,0
