zip_code,median_age,total_population,median_household_income
75001,33.8,16633.0,77598.0
75002,38.8,72679.0,119301.0
75006,36.2,48062.0,79672.0
75007,40.6,54498.0,105969.0
75009,37.1,28109.0,153658.0
75010,38.1,31609.0,98567.0
75013,38.6,46649.0,149549.0
75019,38.9,44706.0,136679.0
75020,40.2,24486.0,64734.0
75021,43.4,8925.0,61198.0
75022,41.5,27000.0,179892.0
75023,38.6,49376.0,101246.0
75024,36.8,43520.0,114623.0
75025,40.2,54201.0,134740.0
75028,43.1,47751.0,143712.0
75032,39.0,36514.0,132756.0
75033,36.6,47416.0,165218.0
75034,35.4,48749.0,104323.0
75035,37.8,83930.0,154811.0
75036,40.9,31792.0,137902.0
75038,32.2,32559.0,69678.0
75039,32.7,21795.0,100474.0
75040,36.0,63143.0,70592.0
75041,30.6,31344.0,62744.0
75042,32.9,37925.0,60118.0
75043,35.3,64296.0,72079.0
75044,36.1,47010.0,84016.0
75048,40.4,28210.0,126792.0
75050,31.8,43856.0,68421.0
75051,31.4,40166.0,49485.0
75052,34.8,94636.0,84055.0
75054,36.5,17261.0,154412.0
75056,36.6,65785.0,111589.0
75057,31.3,17280.0,73935.0
75058,34.7,3801.0,113194.0
75060,33.0,48997.0,67479.0
75061,31.9,56319.0,58236.0
75062,31.1,52772.0,68692.0
75063,33.8,44570.0,106909.0
75065,39.1,12787.0,95403.0
75067,34.2,67117.0,75224.0
75068,35.3,68074.0,119464.0
75069,39.3,39048.0,74967.0
75070,36.0,57516.0,101188.0
75071,37.6,66298.0,124763.0
75072,38.7,55304.0,147321.0
75074,34.5,51443.0,78441.0
75075,41.7,37032.0,89081.0
75076,47.3,8536.0,71910.0
75077,40.4,39853.0,120254.0
75078,35.7,40513.0,178254.0
75080,31.6,52184.0,86341.0
75081,35.6,36493.0,88161.0
75082,37.9,29386.0,108869.0
75087,39.0,40201.0,124583.0
75088,39.5,27143.0,101995.0
75089,37.8,34974.0,119332.0
75090,34.6,25788.0,56323.0
75092,41.3,26588.0,62741.0
75093,42.8,47069.0,121360.0
75094,39.5,23370.0,152461.0
75098,35.0,65655.0,112198.0
75101,33.8,668.0,50455.0
75102,39.3,1877.0,65850.0
75103,44.5,16372.0,67878.0
75104,35.3,49291.0,84760.0
75105,38.1,154.0,
75109,43.0,4466.0,73021.0
75110,34.4,31008.0,51048.0
75114,35.8,7123.0,96484.0
75115,41.2,56012.0,81895.0
75116,36.0,20145.0,57245.0
75117,34.2,4576.0,93373.0
75119,34.8,29509.0,77225.0
75124,40.8,5822.0,76013.0
75125,38.7,6920.0,63684.0
75126,32.1,67852.0,101456.0
75127,48.3,1781.0,58330.0
75132,,,
75134,31.0,20179.0,65114.0
75135,36.8,8515.0,88369.0
75137,39.2,20013.0,81160.0
75140,39.8,7933.0,44091.0
75141,26.4,4510.0,45213.0
75142,35.5,22756.0,75072.0
75143,42.3,14584.0,64178.0
75144,46.2,3883.0,60154.0
75146,33.4,24089.0,68001.0
75147,37.6,8239.0,49167.0
75148,47.1,6143.0,57917.0
75149,33.6,59371.0,64858.0
75150,34.1,63895.0,66265.0
75152,35.2,5859.0,81772.0
75153,35.7,568.0,95066.0
75154,36.8,48510.0,95035.0
75155,35.2,3142.0,56912.0
75156,47.8,16262.0,52464.0
75157,49.4,216.0,
75158,37.1,6202.0,88125.0
75159,35.9,22751.0,69301.0
75160,36.4,25964.0,67102.0
75161,49.6,6468.0,74932.0
75163,59.2,2540.0,54741.0
75164,59.2,430.0,52736.0
75165,33.9,48970.0,83970.0
75166,35.1,5762.0,123653.0
75167,37.5,13421.0,117254.0
75169,40.9,15361.0,56445.0
75172,34.4,5378.0,63003.0
75173,36.1,9296.0,96636.0
75180,31.3,27050.0,57827.0
75181,31.2,27980.0,107734.0
75182,43.1,7873.0,152632.0
75189,35.4,38261.0,114068.0
75201,31.7,17985.0,102891.0
75202,33.4,2421.0,113843.0
75203,33.3,16265.0,43376.0
75204,30.9,31627.0,88142.0
75205,33.1,25212.0,180698.0
75206,30.9,38432.0,84784.0
75207,32.6,8029.0,88655.0
75208,35.5,29992.0,75699.0
75209,39.7,14208.0,116477.0
75210,26.6,8750.0,26822.0
75211,31.1,73948.0,53614.0
75212,30.6,27045.0,47089.0
75214,37.1,34015.0,115304.0
75215,35.0,18950.0,39486.0
75216,33.5,55085.0,33889.0
75217,27.7,87154.0,49841.0
75218,41.2,21393.0,104026.0
75219,33.8,24797.0,86826.0
75220,31.1,40327.0,56849.0
75223,35.6,13174.0,66875.0
75224,32.7,35903.0,50061.0
75225,47.7,21965.0,180181.0
75226,32.0,5108.0,67612.0
75227,32.4,58315.0,54743.0
75228,30.8,68472.0,55848.0
75229,37.4,32885.0,117083.0
75230,47.6,26503.0,109589.0
75231,31.7,39158.0,50603.0
75232,41.0,33333.0,52739.0
75233,32.1,15876.0,61750.0
75234,33.9,33838.0,85105.0
75235,31.0,18936.0,57744.0
75236,30.0,18249.0,45739.0
75237,28.0,19530.0,38552.0
75238,35.8,32180.0,71352.0
75240,31.2,26058.0,51607.0
75241,34.4,33081.0,45356.0
75243,34.2,63047.0,47319.0
75244,37.8,12734.0,109440.0
75246,40.4,2265.0,42429.0
75247,58.7,992.0,18750.0
75248,40.0,37282.0,98584.0
75249,30.5,17853.0,79162.0
75251,31.7,3801.0,85294.0
75252,38.1,27541.0,77147.0
75253,25.6,24411.0,51642.0
75254,30.8,24316.0,70901.0
75261,,,
75270,,,
75287,34.1,52240.0,60256.0
75390,,,
75401,36.2,21000.0,51882.0
75402,35.7,20299.0,78277.0
75407,34.0,26607.0,87839.0
75409,32.7,22249.0,89444.0
75410,60.0,4196.0,77778.0
75411,41.2,875.0,47857.0
75412,44.1,512.0,62000.0
75413,49.5,187.0,
75414,36.9,3284.0,78776.0
75415,57.5,302.0,115446.0
75416,42.8,2865.0,70000.0
75417,40.2,2357.0,53370.0
75418,39.8,14473.0,58790.0
75420,32.9,1364.0,59826.0
75421,28.8,847.0,57688.0
75422,46.6,2826.0,65093.0
75423,40.8,3024.0,55288.0
75424,40.7,3483.0,85364.0
75426,53.6,3793.0,39203.0
75428,27.0,11398.0,51205.0
75429,,,
75431,43.1,1841.0,42201.0
75432,40.1,3115.0,64286.0
75433,44.1,3053.0,80116.0
75434,,,
75435,58.1,1060.0,37321.0
75436,39.5,2334.0,75179.0
75437,37.3,1125.0,83611.0
75438,42.8,1046.0,92083.0
75439,35.0,1123.0,61250.0
75440,47.7,7251.0,61127.0
75441,72.4,90.0,16474.0
75442,40.3,10571.0,81839.0
75446,39.2,3594.0,55744.0
75447,39.5,1187.0,101875.0
75448,34.7,862.0,80098.0
75449,42.3,1082.0,62500.0
75450,49.0,482.0,
75451,47.2,1613.0,47902.0
75452,36.8,4979.0,69911.0
75453,35.1,3173.0,98518.0
75454,34.5,17241.0,137903.0
75455,33.4,26816.0,57120.0
75457,36.4,6278.0,70192.0
75459,31.8,5395.0,71389.0
75460,36.2,24094.0,43884.0
75462,39.6,11406.0,66884.0
75468,42.7,1142.0,69832.0
75469,53.9,311.0,79018.0
75470,56.0,161.0,97581.0
75471,38.3,1690.0,53221.0
75472,49.3,3905.0,56941.0
75473,50.0,3663.0,80699.0
75474,45.7,16586.0,62461.0
75475,,19.0,
75476,53.0,1195.0,56250.0
75477,40.6,1246.0,80375.0
75478,44.0,879.0,54688.0
75479,46.4,2019.0,72368.0
75480,57.9,1730.0,69005.0
75481,37.0,385.0,61000.0
75482,39.8,25724.0,63312.0
75486,47.5,2569.0,89750.0
75487,40.2,1398.0,35729.0
75488,31.2,919.0,62303.0
75489,46.1,832.0,77273.0
75490,42.6,2775.0,83516.0
75491,43.4,5094.0,73988.0
75492,45.8,342.0,106806.0
75493,21.3,699.0,55625.0
75494,42.7,11167.0,65955.0
75495,38.3,9658.0,89781.0
75496,44.1,3462.0,71250.0
75497,59.2,3896.0,57368.0
75501,38.3,34183.0,44064.0
75503,37.9,27675.0,68977.0
75550,54.0,615.0,70192.0
75551,39.6,10917.0,63929.0
75554,43.5,2447.0,44630.0
75555,53.5,1534.0,50579.0
75556,37.4,1297.0,73214.0
75558,43.8,2043.0,90244.0
75559,47.2,5455.0,52983.0
75560,37.2,1033.0,51394.0
75561,39.6,4901.0,55288.0
75562,53.8,89.0,
75563,51.1,3920.0,50108.0
75564,,22.0,
75565,13.5,218.0,19107.0
75566,50.2,678.0,62159.0
75567,45.7,3863.0,59069.0
75568,43.7,2494.0,50134.0
75569,28.0,3456.0,41850.0
75570,37.4,11197.0,64304.0
75571,42.8,2618.0,51450.0
75572,43.5,3162.0,41600.0
75573,32.2,194.0,64792.0
75574,49.0,1402.0,70801.0
75601,36.6,15470.0,60634.0
75602,33.7,21343.0,54656.0
75603,39.7,6341.0,58750.0
75604,33.9,31361.0,66109.0
75605,39.1,33614.0,73582.0
75630,52.0,2622.0,38750.0
75631,38.8,2738.0,80703.0
75633,38.1,13055.0,62244.0
75638,43.0,5041.0,53409.0
75639,46.5,2256.0,32727.0
75640,36.0,5720.0,80833.0
75641,45.8,101.0,42500.0
75642,,71.0,
75643,42.2,2216.0,55000.0
75644,40.1,12902.0,54579.0
75645,44.4,10180.0,70315.0
75647,35.8,13026.0,53016.0
75650,35.5,9921.0,84531.0
75651,44.4,2197.0,65030.0
75652,39.4,13704.0,65905.0
75654,39.3,12817.0,58839.0
75656,40.5,4580.0,51676.0
75657,53.3,6771.0,48848.0
75658,66.8,26.0,
75659,,,
75661,49.5,2734.0,56600.0
75662,38.2,24640.0,64717.0
75667,44.4,1329.0,68309.0
75668,35.9,2471.0,48214.0
75669,35.8,1041.0,81155.0
75670,32.4,18466.0,37106.0
75671,,,
75672,40.9,16637.0,68853.0
75680,,,
75681,44.7,2593.0,58125.0
75682,53.3,664.0,53125.0
75683,42.8,3810.0,43531.0
75684,31.2,8030.0,51629.0
75686,38.9,13180.0,55327.0
75687,,,
75689,26.6,201.0,95724.0
75691,37.5,4547.0,81667.0
75692,48.9,4830.0,60705.0
75693,35.9,6128.0,92938.0
75694,,,
75701,34.6,34822.0,59107.0
75702,31.1,27775.0,48485.0
75703,37.7,43682.0,77858.0
75704,42.0,9284.0,55967.0
75705,40.3,2348.0,70850.0
75706,33.3,11334.0,63477.0
75707,42.3,15724.0,79764.0
75708,31.1,10155.0,79864.0
75709,44.9,5031.0,71013.0
75711,19.6,163.0,
75750,48.1,3291.0,70109.0
75751,37.2,17989.0,59399.0
75752,43.4,7573.0,62135.0
75754,48.5,7460.0,87846.0
75755,41.3,4982.0,52913.0
75756,40.4,4299.0,79688.0
75757,39.9,13430.0,79070.0
75758,48.6,9131.0,59727.0
75759,37.8,139.0,25156.0
75760,55.0,2204.0,67294.0
75762,42.0,14459.0,78520.0
75763,44.2,6336.0,65022.0
75764,27.3,158.0,73021.0
75765,50.7,7944.0,56477.0
75766,34.6,26128.0,50279.0
75770,49.7,2557.0,98178.0
75771,41.7,21408.0,83516.0
75773,44.2,14227.0,57854.0
75778,41.7,2471.0,43812.0
75779,,22.0,
75780,27.9,404.0,64375.0
75782,57.8,103.0,
75783,47.9,7854.0,62410.0
75784,45.8,794.0,58750.0
75785,41.1,10906.0,61815.0
75788,,43.0,
75789,38.7,7898.0,79112.0
75790,38.2,3777.0,61218.0
75791,36.9,14685.0,72203.0
75792,42.1,3558.0,52153.0
75801,34.6,16549.0,46706.0
75803,41.2,21702.0,57654.0
75831,41.2,5152.0,47358.0
75833,46.8,2764.0,62378.0
75835,46.2,11470.0,48706.0
75838,59.9,304.0,37386.0
75839,36.6,6189.0,63412.0
75840,39.7,6428.0,53368.0
75844,43.4,4922.0,50294.0
75845,47.9,2262.0,54850.0
75846,38.7,2609.0,57482.0
75847,38.8,1634.0,52969.0
75848,30.5,100.0,
75849,39.5,125.0,43125.0
75850,54.7,1447.0,
75851,43.1,4513.0,61310.0
75852,35.1,3173.0,52768.0
75853,34.3,1042.0,68750.0
75855,57.7,2657.0,39337.0
75856,22.6,211.0,145096.0
75858,67.2,60.0,56591.0
75859,57.2,2607.0,59698.0
75860,37.7,6305.0,60995.0
75861,44.1,1438.0,75528.0
75862,51.7,10017.0,47377.0
75865,,,
75884,41.0,3535.0,
75886,43.0,3005.0,
75901,34.3,28257.0,59350.0
75903,56.2,136.0,28554.0
75904,37.0,34191.0,59444.0
75925,37.9,3217.0,41328.0
75926,41.5,1301.0,58375.0
75928,54.1,987.0,23718.0
75929,58.0,1358.0,63454.0
75930,45.2,1972.0,53472.0
75931,54.7,2053.0,54931.0
75932,50.9,1393.0,55804.0
75933,39.7,1316.0,
75934,39.5,142.0,
75935,39.3,12073.0,52569.0
75936,48.0,951.0,65000.0
75937,40.8,1303.0,80262.0
75938,45.6,2306.0,47609.0
75939,42.4,5415.0,45339.0
75941,40.0,8666.0,56083.0
75942,42.4,162.0,
75943,42.1,1372.0,71500.0
75944,58.3,852.0,34667.0
75946,42.0,3943.0,58125.0
75948,58.1,5307.0,46157.0
75949,42.1,8472.0,49577.0
75951,41.9,15148.0,44141.0
75954,44.8,2719.0,44750.0
75956,43.8,7374.0,48125.0
75959,36.3,974.0,58542.0
75960,35.9,785.0,70156.0
75961,31.6,15081.0,38547.0
75962,19.7,3336.0,
75964,34.1,20623.0,55039.0
75965,29.7,17410.0,52073.0
75966,41.1,4788.0,38156.0
75968,39.6,2128.0,43472.0
75969,47.8,4597.0,67471.0
75972,48.1,6081.0,42272.0
75973,41.0,2934.0,52037.0
75974,38.1,2726.0,41875.0
75975,34.5,4441.0,58318.0
75976,30.4,1225.0,62417.0
75977,42.2,461.0,22273.0
75979,40.4,11473.0,43822.0
75980,45.8,2522.0,40648.0
76001,34.3,38010.0,101311.0
76002,32.7,33076.0,102369.0
76005,36.7,4899.0,191250.0
76006,32.9,24072.0,56312.0
76008,36.6,23084.0,154054.0
76009,37.1,19879.0,71996.0
76010,27.5,57197.0,42571.0
76011,30.8,22529.0,50200.0
76012,41.1,27769.0,80972.0
76013,31.5,35535.0,64585.0
76014,31.8,32805.0,60894.0
76015,32.1,17474.0,69805.0
76016,42.0,31079.0,103605.0
76017,38.0,46361.0,89930.0
76018,31.0,27827.0,83815.0
76020,40.0,32937.0,87923.0
76021,38.9,34858.0,84539.0
76022,37.1,14632.0,70286.0
76023,40.9,7227.0,83750.0
76028,37.5,76343.0,93314.0
76031,37.3,18108.0,68203.0
76033,38.2,27664.0,65488.0
76034,47.2,25793.0,196034.0
76035,36.2,3101.0,112983.0
76036,34.6,30489.0,89393.0
76039,34.3,41045.0,80176.0
76040,33.6,30708.0,65698.0
76041,35.9,772.0,154427.0
76043,43.8,7281.0,75764.0
76044,36.5,7644.0,88795.0
76048,45.8,27005.0,61728.0
76049,51.6,29301.0,96674.0
76050,44.3,7395.0,80858.0
76051,39.8,50303.0,106726.0
76052,34.9,27171.0,135348.0
76053,35.7,31396.0,59985.0
76054,43.9,11886.0,104748.0
76055,37.5,3566.0,68466.0
76058,34.4,21082.0,66777.0
76059,30.2,5224.0,49703.0
76060,42.8,8552.0,112931.0
76061,,59.0,
76063,37.8,80101.0,110303.0
76064,47.2,1952.0,78523.0
76065,36.4,42415.0,121063.0
76066,37.6,4923.0,98145.0
76067,37.0,20582.0,59845.0
76070,25.4,766.0,130630.0
76071,32.2,4610.0,94318.0
76073,42.9,6948.0,107759.0
76077,26.1,748.0,
76078,35.0,9696.0,89794.0
76082,37.6,23489.0,84506.0
76084,33.5,12058.0,85748.0
76085,43.6,11695.0,91128.0
76086,35.4,21979.0,65707.0
76087,41.1,31831.0,101606.0
76088,43.4,14693.0,89554.0
76092,42.2,31212.0,250001.0
76093,42.9,3485.0,52832.0
76102,36.8,11645.0,81074.0
76103,30.8,17285.0,56641.0
76104,32.4,18914.0,46098.0
76105,29.8,23252.0,44193.0
76106,30.3,37777.0,51972.0
76107,37.6,29629.0,77277.0
76108,36.4,44930.0,73183.0
76109,31.9,25658.0,99102.0
76110,32.8,33640.0,59933.0
76111,34.9,21366.0,54884.0
76112,32.7,44116.0,53335.0
76114,34.7,27297.0,63454.0
76115,28.0,21355.0,45311.0
76116,34.3,49232.0,50982.0
76117,34.7,32692.0,49782.0
76118,38.2,16822.0,89394.0
76119,32.1,51401.0,44605.0
76120,34.4,19842.0,70129.0
76123,33.6,40973.0,91180.0
76126,38.7,25480.0,106467.0
76127,35.6,1657.0,103971.0
76129,19.7,1724.0,
76131,33.4,50572.0,101087.0
76132,35.8,26709.0,68284.0
76133,33.7,54241.0,69506.0
76134,32.3,29211.0,65516.0
76135,39.6,18648.0,69525.0
76137,34.1,58970.0,86733.0
76140,32.7,31882.0,70933.0
76148,37.6,24080.0,88121.0
76155,31.0,6295.0,59653.0
76164,35.2,13853.0,52691.0
76177,34.0,21967.0,102719.0
76179,34.4,74074.0,106288.0
76180,37.2,37271.0,76416.0
76182,42.6,30509.0,110669.0
76201,23.7,28345.0,37703.0
76203,18.4,1026.0,
76205,29.0,20734.0,60196.0
76207,39.9,16685.0,88152.0
76208,34.1,27364.0,100314.0
76209,30.9,27538.0,69090.0
76210,38.4,44990.0,102036.0
76225,44.3,3093.0,75750.0
76226,40.3,37413.0,165428.0
76227,35.5,49155.0,106113.0
76228,46.4,1258.0,67386.0
76230,44.1,9742.0,68301.0
76233,42.9,3256.0,68068.0
76234,38.4,20110.0,85052.0
76238,35.0,499.0,107614.0
76239,48.6,1157.0,56042.0
76240,38.4,29253.0,58384.0
76241,,10.0,
76244,34.7,75185.0,116568.0
76245,64.9,1847.0,66652.0
76247,37.0,16870.0,107405.0
76248,43.2,40130.0,161383.0
76249,36.2,9572.0,103375.0
76250,45.9,835.0,81964.0
76251,41.2,672.0,61172.0
76252,45.6,2729.0,103098.0
76253,39.4,264.0,64130.0
76255,40.8,5743.0,53901.0
76258,43.7,7559.0,81552.0
76259,37.7,5611.0,82041.0
76261,55.1,152.0,58571.0
76262,37.3,42072.0,130524.0
76263,57.3,20.0,
76264,51.6,1143.0,75149.0
76265,41.3,1696.0,75212.0
76266,41.1,18546.0,93327.0
76267,26.4,64.0,
76268,34.1,125.0,83125.0
76270,51.7,2064.0,68705.0
76271,44.2,1961.0,77750.0
76272,47.8,5185.0,93800.0
76273,40.2,10553.0,81969.0
76301,34.0,15610.0,36250.0
76302,37.6,11169.0,51159.0
76305,46.7,4829.0,73729.0
76306,33.9,14391.0,47746.0
76308,31.3,20493.0,70872.0
76309,37.2,14216.0,52250.0
76310,37.8,19676.0,79264.0
76311,20.2,7009.0,91048.0
76351,42.8,1687.0,51010.0
76354,42.7,11794.0,64493.0
76357,50.8,490.0,77083.0
76360,43.0,2541.0,51500.0
76363,49.3,247.0,34107.0
76364,34.8,228.0,62083.0
76365,45.5,4566.0,62397.0
76366,37.3,1984.0,49706.0
76367,40.5,13984.0,68058.0
76370,55.4,478.0,83250.0
76371,40.8,1628.0,57431.0
76372,45.0,1005.0,69167.0
76373,52.8,155.0,77938.0
76374,39.9,3629.0,41019.0
76377,54.6,438.0,52857.0
76379,30.3,596.0,80972.0
76380,47.1,3526.0,53197.0
76384,37.0,12279.0,50250.0
76388,52.2,205.0,48125.0
76389,44.7,1418.0,99375.0
76401,29.6,30703.0,56918.0
76402,19.4,720.0,
76424,39.5,8656.0,44423.0
76426,40.5,11132.0,82346.0
76427,36.8,1030.0,70141.0
76429,68.5,129.0,2499.0
76430,45.4,2260.0,60093.0
76431,38.2,4543.0,70536.0
76432,52.1,1178.0,53333.0
76433,52.5,1945.0,108080.0
76435,52.2,541.0,59792.0
76436,45.5,101.0,57125.0
76437,40.4,5920.0,63272.0
76439,,,
76442,42.2,7281.0,60321.0
76443,43.1,1828.0,49844.0
76444,44.9,3793.0,57583.0
76445,29.6,416.0,
76446,39.5,8554.0,57321.0
76448,46.4,4969.0,63641.0
76449,57.2,2389.0,73824.0
76450,39.9,13003.0,71563.0
76452,56.4,133.0,197593.0
76453,58.8,1442.0,95536.0
76454,45.5,1668.0,41204.0
76455,47.5,698.0,54375.0
76457,40.3,4023.0,59569.0
76458,38.7,6049.0,56786.0
76459,55.6,139.0,48750.0
76460,47.2,472.0,85729.0
76462,39.4,4669.0,94167.0
76463,47.8,500.0,61250.0
76464,59.4,409.0,63750.0
76466,24.9,621.0,128260.0
76469,65.2,73.0,56750.0
76470,38.0,3022.0,36646.0
76471,51.3,1464.0,48529.0
76472,44.9,1503.0,96360.0
76474,51.3,340.0,
76475,43.2,947.0,54688.0
76476,37.9,3423.0,77130.0
76481,50.1,205.0,75690.0
76483,52.2,746.0,51827.0
76484,54.1,739.0,91731.0
76486,36.6,1379.0,65625.0
76487,37.8,2707.0,75063.0
76490,36.2,39.0,
76491,30.9,625.0,64438.0
76501,37.0,17200.0,50855.0
76502,34.6,48508.0,77704.0
76504,33.1,24276.0,44256.0
76511,42.8,2390.0,54750.0
76513,33.5,43738.0,76564.0
76518,41.3,1473.0,53125.0
76519,39.6,483.0,86181.0
76520,37.6,7878.0,59340.0
76522,33.2,41087.0,65760.0
76523,43.3,477.0,56089.0
76524,45.5,4053.0,75435.0
76525,46.3,1227.0,74063.0
76527,39.3,4141.0,71366.0
76528,39.3,19323.0,58862.0
76530,45.7,2424.0,76953.0
76531,45.1,4591.0,55857.0
76534,46.4,2890.0,71103.0
76537,30.4,11501.0,88250.0
76538,51.7,1155.0,58654.0
76539,44.8,8713.0,82053.0
76541,32.1,18849.0,34732.0
76542,31.4,52059.0,73133.0
76543,29.5,33220.0,49021.0
76544,21.7,26040.0,54561.0
76548,34.1,32608.0,71845.0
76549,28.8,55730.0,62607.0
76550,42.7,13574.0,71618.0
76554,32.4,2509.0,72656.0
76556,35.8,2008.0,63438.0
76557,39.4,5389.0,70017.0
76559,30.6,6443.0,65022.0
76561,42.8,1207.0,69250.0
76565,24.0,39.0,
76566,35.7,344.0,142500.0
76567,46.5,8244.0,48472.0
76569,40.1,3304.0,78798.0
76570,43.4,2243.0,38632.0
76571,45.9,9648.0,94517.0
76573,23.9,27.0,
76574,41.4,19629.0,68360.0
76577,37.8,3196.0,68141.0
76578,41.7,1232.0,92188.0
76579,33.7,5129.0,69471.0
76596,39.2,1097.0,
76597,40.8,3123.0,
76598,34.5,440.0,
76599,38.5,1764.0,
76621,35.0,1002.0,94375.0
76622,36.7,1558.0,73438.0
76623,41.3,197.0,62917.0
76624,49.0,2587.0,67708.0
76626,39.0,1363.0,94688.0
76627,46.1,1389.0,70250.0
76628,23.3,91.0,117857.0
76629,48.5,1916.0,63333.0
76630,50.0,1953.0,79000.0
76631,37.3,540.0,83438.0
76632,40.8,1901.0,41875.0
76633,41.4,6348.0,106700.0
76634,49.7,7316.0,68440.0
76635,28.3,1397.0,55393.0
76636,39.6,1638.0,66917.0
76637,47.3,466.0,71250.0
76638,40.1,3106.0,117708.0
76639,41.3,1823.0,39907.0
76640,34.5,2953.0,52074.0
76641,43.9,1714.0,64231.0
76642,44.2,6216.0,57622.0
76643,36.3,16034.0,75898.0
76645,37.7,10970.0,57500.0
76648,44.6,2751.0,49833.0
76649,53.9,700.0,67500.0
76650,35.8,96.0,79167.0
76651,39.0,3902.0,63173.0
76652,54.9,955.0,65278.0
76653,49.2,1426.0,56875.0
76654,38.6,173.0,65417.0
76655,40.3,8591.0,110248.0
76656,42.3,2560.0,71691.0
76657,37.7,12160.0,92935.0
76660,30.3,664.0,47188.0
76661,36.4,7118.0,31888.0
76664,37.2,3698.0,63621.0
